2018-09-21 15:15:28,085 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - Setup: serverId=17389315-69b3-46c8-87e3-33af2a5d98ce
2018-09-21 15:15:28,538 [1] INFO  Photon.SocketServer.Diagnostics.HttpQueuePerformanceCounters - HTTP Queue performance counters successfully initialized
2018-09-21 15:15:28,543 [1] INFO  Photon.SocketServer.Diagnostics.HttpQueuePerformanceCounters - Internal HTTP Queue performance counters successfully created
2018-09-21 15:15:28,550 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - TokenCreator intialized with an expiration of 02:46:40
2018-09-21 15:15:28,561 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Business Logic Queue
2018-09-21 15:15:28,575 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Queue
2018-09-21 15:15:28,580 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter bytes in/sec
2018-09-21 15:15:28,584 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter bytes out/sec
2018-09-21 15:15:28,588 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Threads Processing
2018-09-21 15:15:28,594 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Threads Active
2018-09-21 15:15:28,598 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Time Spent In Server: In (ms)
2018-09-21 15:15:28,602 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Time Spent In Server: Out (ms)
2018-09-21 15:15:28,606 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Disconnected Peers +/sec
2018-09-21 15:15:28,612 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Disconnected Peers (C) +/sec
2018-09-21 15:15:28,616 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Peers
2018-09-21 15:15:28,621 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Disconnected Peers +/sec
2018-09-21 15:15:28,625 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Disconnected Peers (C) +/sec
2018-09-21 15:15:28,630 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Peers
2018-09-21 15:15:28,641 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.FeedbackControlSystem - Could not initialize Feedback Control System from configuration: Invalid configuration file D:\School\Year 3\Minor\Card_Game_Repository\Photon-OnPremise-Server-SDK\deploy\Workload.config. Using default settings... (Could not find file 'D:\School\Year 3\Minor\Card_Game_Repository\Photon-OnPremise-Server-SDK\deploy\Workload.config'.)
2018-09-21 15:15:28,652 [1] INFO  Photon.Common.LoadBalancer.ServerStateManager - Watching for application state file in D:\School\Year 3\Minor\Card_Game_Repository\Photon-OnPremise-Server-SDK\deploy\ServerState.txt
2018-09-21 15:15:28,657 [1] INFO  Photon.Common.LoadBalancer.ServerStateManager - Server state is set to online
2018-09-21 15:15:28,662 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - Initializing master server connection ...
2018-09-21 15:15:28,693 [1] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Connecting to master at 127.0.0.1:4520, serverId=17389315-69b3-46c8-87e3-33af2a5d98ce
2018-09-21 15:15:28,721 [1] INFO  Photon.SocketServer.ApplicationBase - Application start: AppId=Game; AppPath=D:\School\Year 3\Minor\Card_Game_Repository\Photon-OnPremise-Server-SDK\deploy\LoadBalancing\GameServer, Type=Photon.LoadBalancing.GameServer.GameApplication 
2018-09-21 15:15:28,731 [1] INFO  Photon.SocketServer.Diagnostics.CounterPublisher - CounterPublisher started publishing ExitGames.Diagnostics.Monitoring.CounterSamplePublisher to ExitGames.Diagnostics.Monitoring.CounterSampleSender
2018-09-21 15:15:29,540 [10] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Master connection established: address:127.0.0.1
2018-09-21 15:15:29,545 [10] INFO  Photon.Common.LoadBalancer.ServerStateManager - Server state is set to online
2018-09-21 15:15:29,553 [10] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer - Registering game server with address 127.0.0.1, TCP 4531, UDP 5056, WebSocket 9091, Secure WebSocket 19091, HTTP 80, ServerID 17389315-69b3-46c8-87e3-33af2a5d98ce, Hostname localhost, IPv6Address 
2018-09-21 15:15:29,612 [11] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer - Successfully registered at master server: serverId=17389315-69b3-46c8-87e3-33af2a5d98ce
2018-09-21 15:36:47,830 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - OnStopRequested: serverid=17389315-69b3-46c8-87e3-33af2a5d98ce
2018-09-21 15:36:47,838 [1] INFO  Photon.SocketServer.ApplicationBase - Application is stopping: AppId=Game
2018-09-21 15:36:47,840 [38] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer - connection to master closed (id=2, reason=ManagedDisconnect, detail=), serverId=17389315-69b3-46c8-87e3-33af2a5d98ce
2018-09-21 15:36:47,867 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - TearDown: serverId=17389315-69b3-46c8-87e3-33af2a5d98ce
2018-09-21 15:36:47,874 [1] INFO  Photon.SocketServer.ApplicationBase - Application stop: AppId=Game
2018-09-21 17:50:53,238 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - Setup: serverId=c662f7dc-3417-4e69-9567-47a6cbe56083
2018-09-21 17:50:53,673 [1] INFO  Photon.SocketServer.Diagnostics.HttpQueuePerformanceCounters - HTTP Queue performance counters successfully initialized
2018-09-21 17:50:53,679 [1] INFO  Photon.SocketServer.Diagnostics.HttpQueuePerformanceCounters - Internal HTTP Queue performance counters successfully created
2018-09-21 17:50:53,687 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - TokenCreator intialized with an expiration of 02:46:40
2018-09-21 17:50:53,701 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Business Logic Queue
2018-09-21 17:50:53,707 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Queue
2018-09-21 17:50:53,712 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter bytes in/sec
2018-09-21 17:50:53,717 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter bytes out/sec
2018-09-21 17:50:53,724 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Threads Processing
2018-09-21 17:50:53,731 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Threads Active
2018-09-21 17:50:53,738 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Time Spent In Server: In (ms)
2018-09-21 17:50:53,746 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Time Spent In Server: Out (ms)
2018-09-21 17:50:53,752 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Disconnected Peers +/sec
2018-09-21 17:50:53,760 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Disconnected Peers (C) +/sec
2018-09-21 17:50:53,766 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Peers
2018-09-21 17:50:53,774 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Disconnected Peers +/sec
2018-09-21 17:50:53,782 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Disconnected Peers (C) +/sec
2018-09-21 17:50:53,789 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Peers
2018-09-21 17:50:53,801 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.FeedbackControlSystem - Could not initialize Feedback Control System from configuration: Invalid configuration file D:\School\Year 3\Minor\Card_Game_Repository\Photon-OnPremise-Server-SDK\deploy\Workload.config. Using default settings... (Could not find file 'D:\School\Year 3\Minor\Card_Game_Repository\Photon-OnPremise-Server-SDK\deploy\Workload.config'.)
2018-09-21 17:50:53,813 [1] INFO  Photon.Common.LoadBalancer.ServerStateManager - Watching for application state file in D:\School\Year 3\Minor\Card_Game_Repository\Photon-OnPremise-Server-SDK\deploy\ServerState.txt
2018-09-21 17:50:53,823 [1] INFO  Photon.Common.LoadBalancer.ServerStateManager - Server state is set to online
2018-09-21 17:50:53,830 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - Initializing master server connection ...
2018-09-21 17:50:53,881 [1] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Connecting to master at 127.0.0.1:4520, serverId=c662f7dc-3417-4e69-9567-47a6cbe56083
2018-09-21 17:50:53,914 [1] INFO  Photon.SocketServer.ApplicationBase - Application start: AppId=Game; AppPath=D:\School\Year 3\Minor\Card_Game_Repository\Photon-OnPremise-Server-SDK\deploy\LoadBalancing\GameServer, Type=Photon.LoadBalancing.GameServer.GameApplication 
2018-09-21 17:50:53,924 [1] INFO  Photon.SocketServer.Diagnostics.CounterPublisher - CounterPublisher started publishing ExitGames.Diagnostics.Monitoring.CounterSamplePublisher to ExitGames.Diagnostics.Monitoring.CounterSampleSender
2018-09-21 17:50:54,687 [14] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Master connection established: address:127.0.0.1
