2018-09-07 20:40:10,192 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - Setup: serverId=365179e1-89f0-4f48-b3c7-6de58211d01a
2018-09-07 20:40:10,645 [1] INFO  Photon.SocketServer.Diagnostics.PerfCounterManagerBase - PerformanceCounter category 'Photon: Http Queue Counters' does not exists and will be created
2018-09-07 20:40:10,747 [1] INFO  Photon.SocketServer.Diagnostics.HttpQueuePerformanceCounters - HTTP Queue performance counters successfully initialized
2018-09-07 20:40:10,753 [1] INFO  Photon.SocketServer.Diagnostics.HttpQueuePerformanceCounters - Internal HTTP Queue performance counters successfully created
2018-09-07 20:40:10,760 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - TokenCreator intialized with an expiration of 02:46:40
2018-09-07 20:40:11,228 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Business Logic Queue
2018-09-07 20:40:11,233 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Queue
2018-09-07 20:40:11,238 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter bytes in/sec
2018-09-07 20:40:11,243 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter bytes out/sec
2018-09-07 20:40:11,248 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Threads Processing
2018-09-07 20:40:11,253 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Threads Active
2018-09-07 20:40:11,257 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Time Spent In Server: In (ms)
2018-09-07 20:40:11,261 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Time Spent In Server: Out (ms)
2018-09-07 20:40:11,265 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Disconnected Peers +/sec
2018-09-07 20:40:11,269 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Disconnected Peers (C) +/sec
2018-09-07 20:40:11,280 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Peers
2018-09-07 20:40:11,284 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Disconnected Peers +/sec
2018-09-07 20:40:11,290 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Disconnected Peers (C) +/sec
2018-09-07 20:40:11,295 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Peers
2018-09-07 20:40:11,306 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.FeedbackControlSystem - Could not initialize Feedback Control System from configuration: Invalid configuration file D:\School\Year 3\Minor\Card_Game_Repository\Photon-OnPremise-Server-SDK_v4-0-29-11263\deploy\Workload.config. Using default settings... (Could not find file 'D:\School\Year 3\Minor\Card_Game_Repository\Photon-OnPremise-Server-SDK_v4-0-29-11263\deploy\Workload.config'.)
2018-09-07 20:40:11,316 [1] INFO  Photon.Common.LoadBalancer.ServerStateManager - Watching for application state file in D:\School\Year 3\Minor\Card_Game_Repository\Photon-OnPremise-Server-SDK_v4-0-29-11263\deploy\ServerState.txt
2018-09-07 20:40:11,322 [1] INFO  Photon.Common.LoadBalancer.ServerStateManager - Server state is set to online
2018-09-07 20:40:11,326 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - Initializing master server connection ...
2018-09-07 20:40:11,358 [1] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Connecting to master at 127.0.0.1:4520, serverId=365179e1-89f0-4f48-b3c7-6de58211d01a
2018-09-07 20:40:11,377 [1] INFO  Photon.SocketServer.ApplicationBase - Application start: AppId=Game; AppPath=D:\School\Year 3\Minor\Card_Game_Repository\Photon-OnPremise-Server-SDK_v4-0-29-11263\deploy\LoadBalancing\GameServer, Type=Photon.LoadBalancing.GameServer.GameApplication 
2018-09-07 20:40:11,387 [1] INFO  Photon.SocketServer.Diagnostics.CounterPublisher - CounterPublisher started publishing ExitGames.Diagnostics.Monitoring.CounterSamplePublisher to ExitGames.Diagnostics.Monitoring.CounterSampleSender
2018-09-07 20:40:12,310 [14] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Master connection established: address:127.0.0.1
2018-09-07 20:40:12,315 [14] INFO  Photon.Common.LoadBalancer.ServerStateManager - Server state is set to online
2018-09-07 20:40:12,322 [14] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer - Registering game server with address 127.0.0.1, TCP 4531, UDP 5056, WebSocket 9091, Secure WebSocket 19091, HTTP 80, ServerID 365179e1-89f0-4f48-b3c7-6de58211d01a, Hostname localhost, IPv6Address 
2018-09-07 20:40:12,364 [12] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer - Successfully registered at master server: serverId=365179e1-89f0-4f48-b3c7-6de58211d01a
2018-09-07 20:44:22,168 [11] WARN  Photon.Hive.HiveGame - JoinApplyGameStateChanges: Game '3e0a2cd2-0292-4d9f-a4f7-150d9e422a76' userId '' failed to join. msg:Join failed: UserId is not set, checkUserIdOnJoin=true expects a UserId. -- peer:GameClientPeer: PID 4, IsConnected: True, IsDisposed: False, Last Activity: Operation 226 at UTC 9/7/2018 6:44:22 PM in Room 3e0a2cd2-0292-4d9f-a4f7-150d9e422a76, IP 127.0.0.1:53123, 
2018-09-07 20:44:22,567 [21] WARN  Photon.Hive.HiveGame - JoinApplyGameStateChanges: Game '3e0a2cd2-0292-4d9f-a4f7-150d9e422a76' userId '' failed to join. msg:Join failed: UserId is not set, checkUserIdOnJoin=true expects a UserId. -- peer:GameClientPeer: PID 5, IsConnected: True, IsDisposed: False, Last Activity: Operation 226 at UTC 9/7/2018 6:44:22 PM in Room 3e0a2cd2-0292-4d9f-a4f7-150d9e422a76, IP 127.0.0.1:53125, 
2018-09-07 20:44:22,901 [10] WARN  Photon.Hive.HiveGame - JoinApplyGameStateChanges: Game '3e0a2cd2-0292-4d9f-a4f7-150d9e422a76' userId '' failed to join. msg:Join failed: UserId is not set, checkUserIdOnJoin=true expects a UserId. -- peer:GameClientPeer: PID 6, IsConnected: True, IsDisposed: False, Last Activity: Operation 226 at UTC 9/7/2018 6:44:22 PM in Room 3e0a2cd2-0292-4d9f-a4f7-150d9e422a76, IP 127.0.0.1:53127, 
2018-09-07 20:44:23,233 [22] WARN  Photon.Hive.HiveGame - JoinApplyGameStateChanges: Game '3e0a2cd2-0292-4d9f-a4f7-150d9e422a76' userId '' failed to join. msg:Join failed: UserId is not set, checkUserIdOnJoin=true expects a UserId. -- peer:GameClientPeer: PID 7, IsConnected: True, IsDisposed: False, Last Activity: Operation 226 at UTC 9/7/2018 6:44:23 PM in Room 3e0a2cd2-0292-4d9f-a4f7-150d9e422a76, IP 127.0.0.1:53129, 
2018-09-07 20:44:23,567 [10] WARN  Photon.Hive.HiveGame - JoinApplyGameStateChanges: Game '3e0a2cd2-0292-4d9f-a4f7-150d9e422a76' userId '' failed to join. msg:Join failed: UserId is not set, checkUserIdOnJoin=true expects a UserId. -- peer:GameClientPeer: PID 8, IsConnected: True, IsDisposed: False, Last Activity: Operation 226 at UTC 9/7/2018 6:44:23 PM in Room 3e0a2cd2-0292-4d9f-a4f7-150d9e422a76, IP 127.0.0.1:53131, 
2018-09-07 20:44:23,900 [13] WARN  Photon.Hive.HiveGame - JoinApplyGameStateChanges: Game '3e0a2cd2-0292-4d9f-a4f7-150d9e422a76' userId '' failed to join. msg:Join failed: UserId is not set, checkUserIdOnJoin=true expects a UserId. -- peer:GameClientPeer: PID 9, IsConnected: True, IsDisposed: False, Last Activity: Operation 226 at UTC 9/7/2018 6:44:23 PM in Room 3e0a2cd2-0292-4d9f-a4f7-150d9e422a76, IP 127.0.0.1:53135, 
2018-09-07 20:44:24,233 [22] WARN  Photon.Hive.HiveGame - JoinApplyGameStateChanges: Game '3e0a2cd2-0292-4d9f-a4f7-150d9e422a76' userId '' failed to join. msg:Join failed: UserId is not set, checkUserIdOnJoin=true expects a UserId. -- peer:GameClientPeer: PID 10, IsConnected: True, IsDisposed: False, Last Activity: Operation 226 at UTC 9/7/2018 6:44:24 PM in Room 3e0a2cd2-0292-4d9f-a4f7-150d9e422a76, IP 127.0.0.1:53137, 
2018-09-07 20:44:24,567 [22] WARN  Photon.Hive.HiveGame - JoinApplyGameStateChanges: Game '3e0a2cd2-0292-4d9f-a4f7-150d9e422a76' userId '' failed to join. msg:Join failed: UserId is not set, checkUserIdOnJoin=true expects a UserId. -- peer:GameClientPeer: PID 11, IsConnected: True, IsDisposed: False, Last Activity: Operation 226 at UTC 9/7/2018 6:44:24 PM in Room 3e0a2cd2-0292-4d9f-a4f7-150d9e422a76, IP 127.0.0.1:53139, 
2018-09-07 20:44:24,901 [13] WARN  Photon.Hive.HiveGame - JoinApplyGameStateChanges: Game '3e0a2cd2-0292-4d9f-a4f7-150d9e422a76' userId '' failed to join. msg:Join failed: UserId is not set, checkUserIdOnJoin=true expects a UserId. -- peer:GameClientPeer: PID 12, IsConnected: True, IsDisposed: False, Last Activity: Operation 226 at UTC 9/7/2018 6:44:24 PM in Room 3e0a2cd2-0292-4d9f-a4f7-150d9e422a76, IP 127.0.0.1:53141, 
2018-09-07 20:44:25,234 [23] WARN  Photon.Hive.HiveGame - JoinApplyGameStateChanges: Game '3e0a2cd2-0292-4d9f-a4f7-150d9e422a76' userId '' failed to join. msg:Join failed: UserId is not set, checkUserIdOnJoin=true expects a UserId. -- peer:GameClientPeer: PID 13, IsConnected: True, IsDisposed: False, Last Activity: Operation 226 at UTC 9/7/2018 6:44:25 PM in Room 3e0a2cd2-0292-4d9f-a4f7-150d9e422a76, IP 127.0.0.1:53143, 
2018-09-07 20:44:25,567 [14] WARN  Photon.Hive.HiveGame - JoinApplyGameStateChanges: Game '3e0a2cd2-0292-4d9f-a4f7-150d9e422a76' userId '' failed to join. msg:Join failed: UserId is not set, checkUserIdOnJoin=true expects a UserId. -- peer:GameClientPeer: PID 14, IsConnected: True, IsDisposed: False, Last Activity: Operation 226 at UTC 9/7/2018 6:44:25 PM in Room 3e0a2cd2-0292-4d9f-a4f7-150d9e422a76, IP 127.0.0.1:53145, 
2018-09-07 20:44:25,900 [21] WARN  Photon.Hive.HiveGame - JoinApplyGameStateChanges: Game '3e0a2cd2-0292-4d9f-a4f7-150d9e422a76' userId '' failed to join. msg:Join failed: UserId is not set, checkUserIdOnJoin=true expects a UserId. -- peer:GameClientPeer: PID 15, IsConnected: True, IsDisposed: False, Last Activity: Operation 226 at UTC 9/7/2018 6:44:25 PM in Room 3e0a2cd2-0292-4d9f-a4f7-150d9e422a76, IP 127.0.0.1:53147, 
2018-09-07 20:44:26,233 [13] WARN  Photon.Hive.HiveGame - JoinApplyGameStateChanges: Game '3e0a2cd2-0292-4d9f-a4f7-150d9e422a76' userId '' failed to join. msg:Join failed: UserId is not set, checkUserIdOnJoin=true expects a UserId. -- peer:GameClientPeer: PID 16, IsConnected: True, IsDisposed: False, Last Activity: Operation 226 at UTC 9/7/2018 6:44:26 PM in Room 3e0a2cd2-0292-4d9f-a4f7-150d9e422a76, IP 127.0.0.1:53149, 
2018-09-07 20:44:26,567 [13] WARN  Photon.Hive.HiveGame - JoinApplyGameStateChanges: Game '3e0a2cd2-0292-4d9f-a4f7-150d9e422a76' userId '' failed to join. msg:Join failed: UserId is not set, checkUserIdOnJoin=true expects a UserId. -- peer:GameClientPeer: PID 17, IsConnected: True, IsDisposed: False, Last Activity: Operation 226 at UTC 9/7/2018 6:44:26 PM in Room 3e0a2cd2-0292-4d9f-a4f7-150d9e422a76, IP 127.0.0.1:53153, 
2018-09-07 20:44:26,901 [22] WARN  Photon.Hive.HiveGame - JoinApplyGameStateChanges: Game '3e0a2cd2-0292-4d9f-a4f7-150d9e422a76' userId '' failed to join. msg:Join failed: UserId is not set, checkUserIdOnJoin=true expects a UserId. -- peer:GameClientPeer: PID 18, IsConnected: True, IsDisposed: False, Last Activity: Operation 226 at UTC 9/7/2018 6:44:26 PM in Room 3e0a2cd2-0292-4d9f-a4f7-150d9e422a76, IP 127.0.0.1:53156, 
2018-09-07 20:44:27,234 [22] WARN  Photon.Hive.HiveGame - JoinApplyGameStateChanges: Game '3e0a2cd2-0292-4d9f-a4f7-150d9e422a76' userId '' failed to join. msg:Join failed: UserId is not set, checkUserIdOnJoin=true expects a UserId. -- peer:GameClientPeer: PID 19, IsConnected: True, IsDisposed: False, Last Activity: Operation 226 at UTC 9/7/2018 6:44:27 PM in Room 3e0a2cd2-0292-4d9f-a4f7-150d9e422a76, IP 127.0.0.1:53158, 
2018-09-07 20:44:27,568 [13] WARN  Photon.Hive.HiveGame - JoinApplyGameStateChanges: Game '3e0a2cd2-0292-4d9f-a4f7-150d9e422a76' userId '' failed to join. msg:Join failed: UserId is not set, checkUserIdOnJoin=true expects a UserId. -- peer:GameClientPeer: PID 20, IsConnected: True, IsDisposed: False, Last Activity: Operation 226 at UTC 9/7/2018 6:44:27 PM in Room 3e0a2cd2-0292-4d9f-a4f7-150d9e422a76, IP 127.0.0.1:53160, 
2018-09-07 20:44:27,900 [13] WARN  Photon.Hive.HiveGame - JoinApplyGameStateChanges: Game '3e0a2cd2-0292-4d9f-a4f7-150d9e422a76' userId '' failed to join. msg:Join failed: UserId is not set, checkUserIdOnJoin=true expects a UserId. -- peer:GameClientPeer: PID 21, IsConnected: True, IsDisposed: False, Last Activity: Operation 226 at UTC 9/7/2018 6:44:27 PM in Room 3e0a2cd2-0292-4d9f-a4f7-150d9e422a76, IP 127.0.0.1:53162, 
2018-09-07 20:44:28,235 [25] WARN  Photon.Hive.HiveGame - JoinApplyGameStateChanges: Game '3e0a2cd2-0292-4d9f-a4f7-150d9e422a76' userId '' failed to join. msg:Join failed: UserId is not set, checkUserIdOnJoin=true expects a UserId. -- peer:GameClientPeer: PID 22, IsConnected: True, IsDisposed: False, Last Activity: Operation 226 at UTC 9/7/2018 6:44:28 PM in Room 3e0a2cd2-0292-4d9f-a4f7-150d9e422a76, IP 127.0.0.1:53164, 
2018-09-07 20:44:28,567 [21] WARN  Photon.Hive.HiveGame - JoinApplyGameStateChanges: Game '3e0a2cd2-0292-4d9f-a4f7-150d9e422a76' userId '' failed to join. msg:Join failed: UserId is not set, checkUserIdOnJoin=true expects a UserId. -- peer:GameClientPeer: PID 23, IsConnected: True, IsDisposed: False, Last Activity: Operation 226 at UTC 9/7/2018 6:44:28 PM in Room 3e0a2cd2-0292-4d9f-a4f7-150d9e422a76, IP 127.0.0.1:53166, 
2018-09-07 20:44:28,900 [21] WARN  Photon.Hive.HiveGame - JoinApplyGameStateChanges: Game '3e0a2cd2-0292-4d9f-a4f7-150d9e422a76' userId '' failed to join. msg:Join failed: UserId is not set, checkUserIdOnJoin=true expects a UserId. -- peer:GameClientPeer: PID 24, IsConnected: True, IsDisposed: False, Last Activity: Operation 226 at UTC 9/7/2018 6:44:28 PM in Room 3e0a2cd2-0292-4d9f-a4f7-150d9e422a76, IP 127.0.0.1:53168, 
